"Part";"Value";"Device";"Package";"Description";"BUILT_BY";"COPYRIGHT";"MANUFACTURER_PART_NUMBER";"POPULARITY";"PROD_ID";"SF_ID";"SOURCELIBRARY";"VALUE";"VENDOR";
"C1";"470nF";"470NF-0608";"0603";"0.47uF/470nF ceramic capacitors";"";"";"";"";"";"";"";"470nF";"";
"C2";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"CAP-11015";"";"";"10uF";"";
"C3";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"CAP-11015";"";"";"10uF";"";
"C4";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"";"";"";"";"CAP-07888";"";"";"2.2uF";"";
"C5";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"0.1uF";"";
"C6";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"CAP-11015";"";"";"10uF";"";
"C7";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"CAP-00868";"";"";"1.0uF";"";
"C8";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"CAP-11015";"";"";"10uF";"";
"C9";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"CAP-11015";"";"";"10uF";"";
"C10";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"";"";"";"";"CAP-07888";"";"";"2.2uF";"";
"C11";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"0.1uF";"";
"C12";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"0.1uF";"";
"C13";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"0.1uF";"";
"C14";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"";"";"";"";"CAP-00811";"";"";"10uF";"";
"C15";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"0.1uF";"";
"C16";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"0.1uF";"";
"C17";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"";"";"";"";"CAP-07888";"";"";"2.2uF";"";
"C18";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"0.1uF";"";
"C19";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"";"";"";"";"CAP-00811";"";"";"10uF";"";
"C20";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"0.1uF";"";
"C21";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"0.1uF";"";
"C22";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"0.1uF";"";
"C23";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"";"";"";"";"CAP-07888";"";"";"2.2uF";"";
"C24";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"0.1uF";"";
"C25";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"";"";"";"";"CAP-00811";"";"";"10uF";"";
"C26";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"0.1uF";"";
"C27";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"";"";"";"";"CAP-07888";"";"";"2.2uF";"";
"C28";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"";"";"";"";"CAP-00811";"";"";"10uF";"";
"C29";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"0.1uF";"";
"C30";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"";"";"";"";"CAP-00811";"";"";"10uF";"";
"C31";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"0.1uF";"";
"C32";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"";"";"";"";"CAP-07888";"";"";"2.2uF";"";
"C33";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"0.1uF";"";
"C34";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"";"";"";"";"CAP-00811";"";"";"10uF";"";
"C35";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-08604";"";"";"0.1uF";"";
"C36";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"";"";"";"";"CAP-07888";"";"";"2.2uF";"";
"D1";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"";"";"";"";"DIO-11623";"";"";"1A/23V/620mV";"";
"D2";"ORANGE";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";"";"";"";"";
"D3";"BAS70-05";"BAS70-05";"SOT23";"Silicon Schottky Diodes";"";"";"";"1";"";"";"";"";"";
"D4";"GREEN";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";"";"";"";"";
"D5";"GREEN";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";"";"";"";"";
